Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis
2019-03-15,0:45,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,LOWER SPROUL PLAZA,37.86918,-122.260222,NA
2019-03-15,9:14,TRAFFIC STOP,TRAFFIC STOP,MONROE/SAN PABLO,37.884638,-122.297145,NA
2019-03-15,9:53,TRAFFIC STOP,TRAFFIC STOP,CYCLTRON/FOOTHILL LOT,37.875143,-122.253946,NA
2019-03-15,10:26,TRAFFIC STOP,TRAFFIC STOP,CYCLETRON/FOOTHILL,37.875143,-122.253946,NA
2019-03-15,10:31,WELFARE CHECK,CHECK WELFARE- 911 CALL,CALVIN LAB,37.871042,-122.253736,NA
2019-03-15,10:45,DISORDERLY CONDUCT,INVADING PRIVACY BY LOOKING THRU HOLES OR OPENING,MOFFITT LIBRARY,37.872794,-122.260716,"(FW-20-S) REPORTS UNWANTED ELECTRONIC RECORDING, MOFFITT LIBRARY."
2019-03-15,11:34,VANDALISM,MALICIOUS MISCHIEF -REPORT,UNIT-2 CUNNINGHAM,37.866303,-122.255238,"VANDALISM VIA MARKER/GRAFFITI, UNIT-2 CUNNINGHAM. RSSP NOTIFIED."
2019-03-15,12:32,BIKE STOP,BIKE STOP,BANC/BOW,37.869024,-122.256868,NA
2019-03-15,12:33,TRAFFIC STOP,TRAFFIC STOP,BANC/BARROWS,37.868846,-122.258337,NA
2019-03-15,12:36,TRAFFIC STOP,TRAFFIC STOP,BANC/BARROWS,37.868846,-122.258337,NA
2019-03-15,12:38,ALL OTHER OFFENSES,UNCONTROLABLE JUVENILE,685 LIBERTYSHIP WAY,37.884027,-122.30448,"(MB-11-O) REPORTED AS AN UNCONTROLLABLE JUVENILE, 685 LIBERTY SHIP WAY-UVA."
2019-03-15,12:40,TRAFFIC STOP,TRAFFIC STOP,BANC/BARROWS,37.868846,-122.258337,NA
2019-03-15,12:44,BIKE STOP,BIKE STOP,BANC/BARROWS,37.868846,-122.258337,NA
2019-03-15,12:49,BIKE STOP,BIKE STOP,BANC/BAR,37.868846,-122.258337,NA
2019-03-15,12:58,BIKE STOP,BIKE STOP,BANC/BARROWS,37.868846,-122.258337,NA
2019-03-15,12:59,BIKE STOP,BIKE STOP,BANC/BAR,37.868846,-122.258337,NA
2019-03-15,13:01,TRAFFIC STOP,TRAFFIC STOP,BANC/BAR,37.868846,-122.258337,NA
2019-03-15,13:10,ALL OTHER OFFENSES,DISTURBING THE PEACE,UCPD,37.869286,-122.258614,NA
2019-03-15,14:08,BUSINESS/PROFESSIONAL CODE VIOLATION,BUSINESS/PROFESSIONS CODE,SPIEKER PLAZA,37.869975,-122.261807,"(FW-19-S) CITED FOR MISREPRESENTATION OF AGE, SPIEKER PLAZA."
2019-03-15,14:38,TRAFFIC STOP,TRAFFIC STOP,DURANT/TELEGRAPH,37.867806,-122.258712,NA
2019-03-15,15:04,TRAFFIC STOP,TRAFFIC STOP,BANCROFT/COLLEGE,37.869305,122.255116,NA
2019-03-15,16:13,WELFARE CHECK,CHECK WELFARE- 911 CALL,BARROWS HALL,37.870034,-122.257988,NA
2019-03-15,17:12,ALL OTHER OFFENSES,RULE VIOLATION,CLARK KERR CAMPUS,37.864256,-122.248801,NA
2019-03-15,17:17,VEHICLE CODE VIOLATION,VEHICLE CODE VIOLATION,600 GOODING WAY,37.884526,-122.30204,NA
2019-03-15,20:03,ALL OTHER OFFENSES,DISTURBING THE PEACE,ALUMNI HOUSE,37.866336,-122.257558,NA
2019-03-15,20:07,ALL OTHER OFFENSES,DISTURBING THE PEACE,755 OHLONE AVE,37.885571,-122.301631,"(FO-36-S) REPORTS DISTURBANCE, 755 OHLONE."
2019-03-15,21:52,VANDALISM,MALICIOUS MISCHIEF -REPORT,GENETICS & PLANT BIOLOGY,37.873456,-122.26471,"(MUA-E) REPORTS VANDALISM VIA WINDOW SMASH, GPB."
