Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis
1/20/19,1:30,PEDESTRIAN STOP,SUSPECT STOP,CESAR CHAVEZ CENTER,37.869789,-122.260038,NA
1/20/19,1:33,PEDESTRIAN STOP,SUSPECT STOP,LOWER SPROUL PLAZA,37.86918,-122.260222,NA
1/20/19,2:02,PEDESTRIAN STOP,SUSPECT STOP,DWINELLE HALL,37.870547,-122.260603,NA
1/20/19,2:07,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,LAWRENCE BERKELEY NATIONAL LAB,37.876048,-122.250025,NA
1/20/19,5:23,TRAFFIC,OBSTRUCTING TRAFFIC,NORTH GATE,37.874931,-122.260545,NA
1/20/19,9:41,LARCENY/THEFT,PETTY THEFT -BIKE REPORT,UNIT-1,37.868137,-122.254963,"(MW-20-S) REPORTS THE THEFT OF HIS BLACK BEACH CRUISER BICYCLE WITH ADCC ENGINE, UNIT-1. LOSS $300."
1/20/19,10:19,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,BANCROFT WAY,37.868744,-122.259056,NA
1/20/19,10:42,VEHICLE CODE VIOLATION,VEHICLE CODE VIOLATION,1020 JACKSON STREET,37.88642,-122.300468,NA
1/20/19,10:59,LARCENY/THEFT,PETTY THEFT -REPORT,415 KULA GULF WAY,37.884499,-122.303748,"(MW-29-S) REPORTS THE THEFT OF A PACKAGE CONTAINING A CANON EOS REBEL CAMERA, 415 KULA GULF WAY. LOSS $500."
1/20/19,11:32,WELFARE CHECK,WELFARE CHECK,I HOUSE,37.86958,-122.251803,NA
1/20/19,12:56,TRAFFIC STOP,TRAFFIC STOP,ALLSTON/SHATTUCK,37.869448,-122.26788,NA
1/20/19,13:46,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,ASUC,37.869249,-122.25967,NA
1/20/19,14:20,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,UNIT-1 LOADING DOCK,37.867967,-122.25596,NA
1/20/19,16:24,PEDESTRIAN STOP,SUSPECT STOP,EUCALYPTUS GROVE,37.871515,-122.263986,NA
1/20/19,16:53,ALL OTHER OFFENSES,DISTURBING THE PEACE,MLK,37.869249,-122.25967,NA
1/20/19,19:39,PEDESTRIAN STOP,SUSPECT STOP,2533 TELEGRAPH AVE,37.864431,-122.258328,NA
1/20/19,22:24,PEDESTRIAN STOP,SUSPECT STOP,DWINELLE HALL,37.870547,-122.260603,NA
1/20/19,23:23,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,CHANNING/BOWDITCH APTS,37.86747,-122.257248,NA
