Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis
2019-01-28,3:36,SUSPICIOUS EVENT,SUSPICIOUS PERSON,DWINELLE HALL,37.870547,-122.260603,NA
2019-01-28,7:24,TRAFFIC STOP,TRAFFIC STOP,HEARST/LECONTE,37.874666,-122.263868,NA
2019-01-28,7:39,TRAFFIC STOP,TRAFFIC STOP,DELAWARE WALNUT,37.874933,-122.267597,NA
2019-01-28,7:50,WELFARE CHECK,CHECK WELFARE- 911 CALL,DOE LIBRARY,37.872195,-122.25959,NA
2019-01-28,8:54,ALL OTHER OFFENSES,RULE VIOLATION,2420 BOWDITCH ST,37.866521,-122.256304,NA
2019-01-28,9:16,LARCENY/THEFT,PETTY THEFT -BIKE REPORT,UNIT-2,37.86623,-122.25484,"(FA-19-S) REPORTS THE THEFT OF HER MENS 1 SPEED BLK FELT VERZACAFE ROADBIKE, UNIT-2. LOSS $700."
2019-01-28,9:56,PEDESTRIAN STOP,SUSPECT STOP,WALNUT HEARST,37.874019,-122.267479,NA
2019-01-28,11:27,WELFARE CHECK,CHECK WELFARE- 911 CALL,LIFE SCIENCE ADDITION,37.871598,-122.26321,NA
2019-01-28,11:37,VANDALISM,MALICIOUS MISCHIEF -REPORT,KROEBER HALL,37.869854,-122.255152,"(MW-68-F) REPORTS THEFT OF NAMEPLATE AND POSTER, KROEBER HALL.  LOSS $10."
2019-01-28,12:53,WEAPONS VIOLATIONS,POSS KNIFE ON UNIV GROUNDS,UCPD,37.869286,-122.258614,"CARTMILL, JAMES (MW-47-O) ARRESTED FOR POSSESSION OF A KNIFE ON UNIVERSITY GROUNDS, UCPD. TO BPD JAIL."
2019-01-28,12:52,LARCENY/THEFT,PETTY THEFT -REPORT,747 RED OAK AVE,37.883466,-122.301418,"(FB-32-S) REPORTS THE THEFT OF PACKAGES, 747 RED OAK AVE -UVA. LOSS $200."
2019-01-28,13:38,ALL OTHER OFFENSES,RULE VIOLATION,ANNA HEAD ALUMNAE HALL,37.866336,-122.257558,NA
2019-01-28,13:55,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,STRUCTURE B,37.8698,-122.255825,NA
2019-01-28,15:06,WELFARE CHECK,CHECK WELFARE- 911 CALL,WURSTER HALL,37.870815,-122.254698,NA
2019-01-28,15:10,WELFARE CHECK,CHECK WELFARE- 911 CALL,SPROUL HALL,37.869647,-122.258803,NA
2019-01-28,15:41,LARCENY/THEFT,PETTY THEFT -REPORT,SPROUL HALL,37.869647,-122.258803,"(FA-22-S) REPORTS VANDALISM TO A DOOR, 319 SPROUL HALL. SUSPECT: MH 30S HEAVY BUILD BLUE SHIRT, BLUE PANTS."
2019-01-28,16:02,LARCENY/THEFT,PETTY THEFT -REPORT,MOFFITT LIBRARY,37.872794,-122.260716,"(MA-21-S) REPORTS THE THEFT OF A MICROSOFT SURFACE 3 TABLET, MOFFITT LIBRARY. LOSS $700."
2019-01-28,16:09,LARCENY/THEFT,PETTY THEFT -REPORT,EAST ASIAN LIBRARY,37.873652,-122.259727,"(MH-23-S) REPORTS THE THEFT OF HIS WALLET AND CONTENTS, EAST ASIAN LIBRARY. LOSS $20."
2019-01-28,16:33,SUSPICIOUS EVENT,SUSPICIOUS PERSON,UNIT-1 CHENEY,37.868062,-122.255604,NA
2019-01-28,17:40,PEDESTRIAN STOP,SUSPECT STOP,10TH/HARRISON,37.800165,-122.269346,NA
2019-01-28,19:34,ALL OTHER OFFENSES,DISTURBING THE PEACE,UPPER SPROUL PLAZA,37.869556,-122.259337,NA
2019-01-28,20:17,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,ANTHONY HALL,37.870671,-122.258199,NA
2019-01-28,20:42,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,PEOPLES PARK,37.86582,-122.257058,NA
2019-01-28,20:45,LARCENY/THEFT,PETTY THEFT -REPORT,EDWARDS TRACK,37.868998,-122.264829,"(MA-25-S) REPORTS THEFT OF HIS 15 INCH GRAY MACBOOK PRO, EDWARDS TRACK. LOSS OF $4300"
2019-01-28,21:12,TRAFFIC STOP,TRAFFIC STOP,UNIT-3,37.867138,-122.260331,NA
2019-01-28,21:32,SUSPICIOUS EVENT,SUSPICIOUS PERSON,PAULEY BALLROOM,37.869222,-122.259672,NA
2019-01-28,21:31,DISORDERLY CONDUCT,INVADING PRIVACY BY LOOKING THRU HOLES OR OPENING,NORTHGATE HALL,37.875023,-122.259672,"(MW-21-S) REPORTS INVASION OF PRIVACY OVER BATHROOM STALL, NORTHGATE 1ST FLOOR BATHROOM. SUSPECT MB 507-509, MED BUILD, 30-40S, SHORT DREADS, UNSHAVEN, GREEN JACKET, BLACK SWEATPANTS, UNKNOWN COLORED BACKPACK"
2019-01-28,23:50,ALL OTHER OFFENSES,DISTURBING PEACE-ENTERTAINMENT,LHS VISTA LOT,37.880749,-122.247597,NA
