Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis
2019-02-18,0:15,PEDESTRIAN STOP,PEDESTRIAN STOP,LHS VISTA LOT,37.880749,-122.247597,NA
2019-02-18,0:31,PEDESTRIAN STOP,PEDESTRIAN STOP,MSRI LOT,37.88085,-122.24573,NA
2019-02-18,0:35,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,LAWRENCE HALL OF SCIENCE,37.879208,-122.246517,NA
2019-02-18,3:06,PEDESTRIAN STOP,PEDESTRIAN STOP,DWINELLE PLAZA,37.870607,-122.260128,NA
2019-02-18,8:03,TRAFFIC STOP,TRAFFIC STOP,2400 DURANT AVE,37.867399,-122.260958,NA
2019-02-18,8:42,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,DWINELLE HALL,37.870547,-122.260603,NA
2019-02-18,10:19,TRAFFIC STOP,TRAFFIC STOP,UNIVERSITY/ACTON,37.870065,-122.284255,NA
2019-02-18,10:59,WELFARE CHECK,WELFARE CHECK,580 OHLONE AVE,37.884937,-122.303152,NA
2019-02-18,11:26,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,WHEELER HALL,37.871328,-122.259146,NA
2019-02-18,12:46,PEDESTRIAN STOP,SUSPECT STOP,BANWAY,37.867904,-122.266867,NA
2019-02-18,13:08,ALL OTHER OFFENSES,EXCLUSION FROM CAMPUS,EVANS HALL,37.873688,-122.257853,"(FH-59-O) EXCLUDED FROM CAMPUS FOR 7 DAYS, EVANS HALL."
2019-02-18,15:29,WELFARE CHECK,CHECK WELFARE- 911 CALL,LI KA SHING,37.873201,-122.265172,NA
2019-02-18,16:56,TRAFFIC STOP,TRAFFIC STOP,BANCROFT/COLLEGE,37.869305,122.255116,NA
2019-02-18,17:54,PEDESTRIAN STOP,SUSPECT STOP,2504 DURANT AVE,37.867822,-122.259019,NA
2019-02-18,20:33,TRAFFIC STOP,TRAFFIC STOP,BANCROFT/COLLEGE,37.869305,122.255116,NA
2019-02-18,20:47,ALL OTHER OFFENSES,TRESPASS - FAIL TO LEAVE,2601 TELEGRAPH AV,37.863019,-122.25832,NA
2019-02-18,22:30,LARCENY/THEFT,GRAND THEFT -REPORT,DWINELLE HALL,37.870547,-122.260603,"(MW-43-O) REPORTS THEFT HIS BACKPACK AND CONTENTS, DWINELLE HALL IFO RM 106. LOSS OF $3,590"
2019-02-18,23:44,LARCENY/THEFT,AUTO BURGLARY -REPORT,UPPER HEARST STRUCTURE,37.875733,-122.257161,"(MA-29-S) VICTIM OF AUTO BURGLARY VIA WINDOW SMASH TO HIS BLK 2018 LEXUS IS350, UPPER HEARST PARKING STRUCTRE, NO LOSS."
