Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis
2019-01-22,0:16,TRAFFIC STOP,TRAFFIC STOP,DURANT/PIEDMONT,37.868682,-122.252272,NA
2019-01-22,0:37,PEDESTRIAN STOP,SUSPECT STOP,UNIT-1,37.868137,-122.254963,NA
2019-01-22,3:30,LARCENY/THEFT,PETTY THEFT -REPORT,400 OHLONEAVE,37.88463,-122.304376,NA
2019-01-22,5:29,SUSPICIOUS EVENT,SUSPICIOUS PERSON,EVANS HALL,37.873688,-122.257853,NA
2019-01-22,7:38,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,BANWAY LOT,37.867904,-122.266867,NA
2019-01-22,7:47,OTHER ASSAULTS,BATTERY AGAINST PEACE OFFICER,DWIGHT/BOWDITCH,37.865436,-122.25614,"JACKSON, CHARLES (MW-40-O) ARRESTED FOR BATTERY AGAINST APEACE OFFICER, RESISTING ARREST AND ONE ARIZONA FELONY WARRANT, DWIGHT E BOWDITCH. TO SANTA RITA JAIL."
2019-01-22,8:45,VEHICLE CODE VIOLATION,VEHICLE CODE VIOLATION,UVA-164,37.88364,-122.305057,NA
2019-01-22,10:25,TRAFFIC STOP,TRAFFIC STOP,CHANNING/FULTON,37.866043,-122.265648,NA
2019-01-22,11:46,ALL OTHER OFFENSES,290 REGISTRATION,UCPD,37.869286,-122.258614,"(MW-58-E) CONTACTED UCPD TO COMPLETE HIS REGISTRATION REQUIREMENT, UCPD."
2019-01-22,11:45,BURGLARY,BURGLARY -REPORT,LI KA SHING,37.873201,-122.265172,NA
2019-01-22,12:05,DEMONSTRATION,DEMONSTRATION STANDBY,HASTE/TELEGRAPH,37.866028,-122.258642,"DEMONSTRATION, UPPER SPROUL PLAZA/CALIFORNIA HALL --PEOPLE`S PARK GROUP"
2019-01-22,12:41,DEMONSTRATION,DEMONSTRATION STANDBY,SAVIO STEPS,37.869564,-122.258953,"DEMONSTRATION, SAVIO STEPS ~WORLD LIBERATION FRONT~"
2019-01-22,14:24,OUTSIDE ASSIST,OUTSIDE ASSIST - BPD,SODA HALL,37.875595,-122.258787,NA
2019-01-22,14:35,ALL OTHER OFFENSES,RULE VIOLATION,UCPD,37.869286,-122.258614,"OPHD RELATED INVESTIGATION, UCPD"
2019-01-22,14:56,VEHICLE CODE VIOLATION,VEHICLE CODE VIOLATION,WEST END WAY,37.883889,-122.305078,NA
2019-01-22,16:15,SUSPICIOUS EVENT,SUSPICIOUS PERSON,MOSES HALL,37.871017,-122.258093,NA
2019-01-22,16:31,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,NORTHGATE HALL,37.875023,-122.259672,NA
2019-01-22,17:10,WELFARE CHECK,WELFARE CHECK,STADIUM PARKING STRUCTURE,37.87239,-122.252876,NA
2019-01-22,17:46,ALL OTHER OFFENSES,MISD. HIT & RUN -REPORT,WITTER FIELD LOT,37.871228,-122.248642,"(FW-32-O) REPORTS MISDEMEANOR HIT AND RUN WITH DAMAGE TO HER BLUE 2013 HYUNDAI SONATA, 7XBJ697, WITTERFIELD LOT."
2019-01-22,18:23,LARCENY/THEFT,AUTO BURGLARY -REPORT,UNIVERSITY HALL WEST LOT,37.871838,-122.266959,"(MA-22-S) REPORTS AUTO BURG VIA WINDOW SMASH TO HIS BLACK 2014 ACURA RDX, 7NAP828, LOSS: BACKPACK/LAPTOP, VALUE: $2380. PROPERTY LATER RECOVERED AND RETURNED TO OWNER."
2019-01-22,18:25,OUTSIDE ASSIST,OUTSIDE ASSIST BPD COVER,2505 TELEGRAPH AVE,37.814585,-122.268623,NA
2019-01-22,19:31,SUSPICIOUS EVENT,SUSPICIOUS PERSON,MLK,37.869249,-122.25967,NA
2019-01-22,20:06,WELFARE CHECK,CHECK WELFARE- 911 CALL,UNIT-1 CHRISTIAN,37.868175,-122.254958,NA
2019-01-22,21:00,TRAFFIC STOP,TRAFFIC STOP,OPTOMETRY LANE S/ HAAS BS,37.871225,-122.253603,NA
2019-01-22,21:48,LARCENY/THEFT,PETTY THEFT -BIKE REPORT,CHEIT HALL,37.871817,-122.254259,"(MW-30-S) REPORTS THEFT OF HIS RED SPECIALIZED ALLEZ ELITE 10 SPEED ROAD BIKE, CHIET HALL BIKE RACKS. LOSS OF $800"
2019-01-22,22:09,WELFARE CHECK,WELFARE CHECK,UNIT-2 COURTYARD,37.866081,-122.254743,"(FO-18-S) CONTACTED FOR WELFARE CHECK, UNIT-2 COURTYARD. PROVED OK."
2019-01-22,22:28,WELFARE CHECK,WELFARE CHECK,JACKSON HOUSE,37.868187,-122.25412,"(FI-22-S) CONTACTED FOR A WELFARE CHECK, IDA JACKSON HOUSE, PROVED OK."
