Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis
2019-01-07,0:45,PEDESTRIAN STOP,SUSPECT STOP,CESAR CHAVEZ CENTER,37.869789,-122.260038,NA
2019-01-07,0:57,DISORDERLY CONDUCT,LODGING,HAAS PAVILION,37.869557,-122.262235,NA
2019-01-07,1:05,PEDESTRIAN STOP,SUSPECT STOP,REC SPRT FAC GARAGE,37.868572,-122.262722,NA
2019-01-07,1:22,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,RICHMOND FIELD STATION,37.917272,-122.329831,NA
2019-01-07,1:58,DISORDERLY CONDUCT,LODGING,DWINELLE HALL,37.870547,-122.260603,NA
2019-01-07,5:30,TRAFFIC STOP,TRAFFIC STOP,HEARST MINING CIR,37.873558,-122.25706,NA
2019-01-07,5:59,SUSPICIOUS EVENT,SUSPICIOUS PERSON,BOALT HALL,37.869768,-122.253893,NA
2019-01-07,7:16,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE - REPORT,MLK,37.869249,-122.25967,NA
2019-01-07,7:36,SUSPICIOUS EVENT,SUSPICIOUS PERSON,UNIT-3,37.867179,-122.260237,NA
2019-01-07,8:55,DISORDERLY CONDUCT,LODGING,MANVILLE APTS,37.865813,-122.266826,NA
2019-01-07,9:03,LARCENY/THEFT,PETTY THEFT -REPORT,585 RED OAK AVE,37.883275,-122.30267,NA
2019-01-07,9:24,VANDALISM,MALICIOUS MISCHIEF - REPORT,RICHMOND FIELD STATION,37.917272,-122.329831,"OCCURRED 1/1/19 1700 - 1/5/19 0800. (MWA-E) REPORTS SUSPICIOUS CIRCUMSTANCE REGARDING TWO MISSING PADLOCKS, RFS."
2019-01-07,9:32,PEDESTRIAN STOP,SUSPECT STOP,2533 TELEGRAPH AV,37.864431,-122.258328,NA
2019-01-07,15:34,RAPE,RAPE -REPORT,SEQUOIA APTS,37.866071,-122.258936,"OCCURRED: 01/06/18 1800-2030. (FH-21-S) VICTIM OF RAPE AND SEXUAL ASSAULT VIA FOREIGN OBJECT, SEQUOIA APTS,"
2019-01-07,17:28,LARCENY/THEFT,PETTY THEFT -REPORT,MLK,37.869249,-122.25967,"OCCURRED: 01/07/2018 1705-1710. (MW-21-S) REPORTS THE THEFT OF HIS FRONT LIGHT, SEAT, AND REAR LIGHT OFF HIS BICYCLE, MLK, VALUE: $60."
2019-01-07,19:56,TRAFFIC STOP,TRAFFIC STOP,UNIV/MCGEE,37.871051,-122.277526,NA
2019-01-07,20:10,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,HEARST AV,37.8724805,-122.2817367,NA
2019-01-07,20:13,TRAFFIC STOP,TRAFFIC STOP,FULTON DURANT,37.866942,-122.265828,NA
2019-01-07,20:30,TRAFFIC STOP,TRAFFIC STOP,UNI/WEST OF MILVIA,37.871804,-122.270728,NA
2019-01-07,21:02,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,TAN HALL,37.873306,-122.256514,NA
2019-01-07,21:47,TRAFFIC STOP,TRAFFIC STOP,2500 DURANT,37.867633,-122.258649,NA
2019-01-07,22:03,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,BOW/DURANT,37.868145,-122.256711,NA
2019-01-07,22:06,TRAFFIC STOP,TRAFFIC STOP,CHANNING E COLLEGE,37.867498,-122.254253,NA
2019-01-07,22:32,TRAFFIC STOP,TRAFFIC STOP,DURANT W ELLS,37.867229,-122.263207,NA
2019-01-07,23:17,SUSPICIOUS EVENT,SUSPICIOUS PERSON,DWINELLE HALL,37.870547,-122.260603,"OCCURRED:  01/07/2019 23:27 HRS. ROBINSON, DEMORRIS (MB-46-O) ARRESTED FOR PROBATION VIOLATION, VIOLATION OF A COURT ORDER, AND TRESPASSING, DWINELLE HALL.  TO BPD JAIL."
2019-01-07,23:22,TRAFFIC STOP,TRAFFIC STOP,DURANT/DANA,37.867479,-122.261205,NA
2019-01-07,23:23,TRAFFIC STOP,TRAFFIC STOP,2100 BANCROFT,37.867647,-122.267695,NA
2019-01-07,23:34,TRAFFIC STOP,TRAFFIC STOP,SHATTUCK/ALLSTON,37.869416,-122.267875,NA
