Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis
2019-02-20,0:04,PEDESTRIAN STOP,SUSPECT STOP,UNDERHILL LOT,37.866947,-122.254817,NA
2019-02-20,0:47,DISORDERLY CONDUCT,LODGING,UNIT-1,37.868137,-122.254963,NA
2019-02-20,8:12,ALL OTHER OFFENSES,DISTURBING THE PEACE,WHEELER HALL,37.871328,-122.259146,NA
2019-02-20,9:43,WELFARE CHECK,WELFARE CHECK,2055 CENTER ST,37.870452,-122.269305,NA
2019-02-20,11:53,VANDALISM,TAMPERING WITH VEHICLE-REPORT,DWINELLE HALL,37.870547,-122.260603,"(MWA-E) REPORTS TAMPERING TO UC VEHICLE, WHITE 2008 YAMAHA COLUMBIA MEGA ELECTRIC VEHICLE, N/W DWINELLE HALL. LOSS OF $4000.00"
2019-02-20,12:12,ALL OTHER OFFENSES,WARRANT ARREST,2600 BLK DWIGHT,37.867961,-122.256254,"STEVENS, ALYSSA (FW-28-O) ARRESTED FOR ONE UCPD MISDEMEANOR WARRANT, 2600 BLK DWIGHT WAY. CITED AND RELEASED AT THE SCENE."
2019-02-20,12:26,LARCENY/THEFT,AUTO BURGLARY -REPORT,FRANK SCHLESSINGER WAY,37.870515,-122.263111,NA
2019-02-20,12:30,FORGERY AND COUNTERFEITING,FRAUDULENT USE OF CREDIT CARD,UNIT-1,37.868137,-122.254963,"(MWA-E) REPORTS FRADULENT USE OF A UC BLU CARD, UNIT 1. TOTAL LOSS UNKNOWN AT THIS TIME."
2019-02-20,13:19,ALL OTHER OFFENSES,RULE VIOLATION,LOWER FIRE TRAIL,37.871663,-122.241465,NA
2019-02-20,13:44,MOTOR VEHICLE THEFT,VEHICLE THEFT -REPORT,EVANS FIELD,37.869448,-122.26339,"(MB-49-E) REPORTS THE THEFT OF A BLUE UNKNOWN MAKE/MODEL GOLF CART, EVANS FIELD."
2019-02-20,14:04,TRAFFIC STOP,TRAFFIC STOP,CANYON/STADIUM RIM,37.870375,-122.249489,NA
2019-02-20,14:24,SUSPICIOUS EVENT,SUSPICIOUS PERSON,UNIVERSITY HALL,37.87216,-122.266441,NA
2019-02-20,16:44,VEHICLE CODE VIOLATION,VEHICLE CODE VIOLATION,GAYLEY ROAD,37.873525,-122.255081,NA
2019-02-20,19:54,TRAFFIC STOP,TRAFFIC STOP,CHANNING/BOWDITCH,37.867231,-122.256486,NA
2019-02-20,20:56,TRAFFIC STOP,TRAFFIC STOP,2500 DURANT AVE,37.867633,-122.258649,NA
2019-02-20,21:41,TRAFFIC STOP,TRAFFIC STOP,HASTE/TELEGRAPH,37.866028,-122.258642,NA
2019-02-20,23:27,TRAFFIC STOP,TRAFFIC STOP,BANCROFT/FULTON,37.867845,-122.26588,NA
2019-02-20,23:36,LARCENY/THEFT,AUTO BURGLARY -REPORT,BAMPFA LOT,37.871383,-122.266711,"(MW-79-E) REPORTS AUTO BURGLARY VIA WINDOW SMASH, BAMPFA LOT. LOSS $0."
