Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis
2019-02-26,0:07,WELFARE CHECK,WELFARE CHECK,UNIT-3 NORTON,37.867388,-122.260876,"(FA-19-S) WELFARE CHECK, PROVED OK, UNIT-3 NORTON."
2019-02-26,6:12,ALL OTHER OFFENSES,RULE VIOLATION,GPB GARAGE,37.873486,-122.264683,NA
2019-02-26,9:20,SUSPICIOUS EVENT,SUSPICIOUS PERSON,UNIVERSITY HALL,37.87216,-122.266441,NA
2019-02-26,9:20,WELFARE CHECK,CHECK WELFARE- 911 CALL,LIFE SCIENCE ADDITION,37.871598,-122.26321,NA
2019-02-26,9:39,VEHICLE CODE VIOLATION,VEHICLE CODE VIOLATION,DONNER LAB,37.874419,-122.256306,NA
2019-02-26,10:47,OTHER ASSAULTS,BATTERY -REPORT,CKC-1,37.864216,-122.248877,"(FB-20-S) REPORTS BATTERY VIA BODY CHECK, SUSPECT (BF-23-S), CKC BUILDING 12"
2019-02-26,11:12,LARCENY/THEFT,PETTY THEFT -REPORT,REC SPRT FAC,37.868572,-122.262722,"(FW-20-S) REPORTS THE THEFT OF HER CAL ID CARD, RSF LOCKER ROOM. LOSS $25."
2019-02-26,14:02,DEMONSTRATION,DEMONSTRATION STANDBY,UPPER SPROUL PLAZA,37.869556,-122.259337,NA
2019-02-26,14:48,OTHER ASSAULTS,CRIMINAL THREATS,ROCHDALE VILLAGE,37.865751,-122.259746,"(FXA-S) VICTIM OF CRIMINAL THREATS, ROCHDALE VILLAGE. SUSPECT: MUNIZ, CHRISTOPHER (MX-28-O)"
2019-02-26,17:23,SUSPICIOUS EVENT,SUSPICIOUS PERSON,MLK,37.869249,-122.25967,NA
2019-02-26,18:24,LARCENY/THEFT,PETTY THEFT -BIKE REPORT,BOALT HALL,37.869768,-122.253893,"(MO-25-S) REPORTS THEFT OF HIS WHITE 6KU SINGLE SPEED BICYCLE, BOALT HALL. LOSS $250."
2019-02-26,18:27,LARCENY/THEFT,PETTY THEFT -BIKE REPORT,EVANS HALL,37.873688,-122.257853,"(FA-A-S) REPORTS THEFT OF HER WHITE ELECTRIC ANCHEER BIKE, EVANS HALL. LOSS $400."
2019-02-26,18:37,SUSPICIOUS EVENT,SUSPICIOUS PERSON,LOWER SPROUL PLAZA,37.86918,-122.260222,NA
2019-02-26,19:01,SUSPICIOUS EVENT,SUSPICIOUS PERSON,CKC-17,37.862759,-122.24836,NA
2019-02-26,21:21,ALL OTHER OFFENSES,DISTURBING THE PEACE,MLK,37.869249,-122.25967,NA
2019-02-26,22:06,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,CLARK KERR CAMPUS,37.864256,-122.248801,NA
2019-02-26,22:33,TRAFFIC STOP,TRAFFIC STOP,BERKELEY/OXFORD,37.873367,-122.266196,NA
2019-02-26,23:09,PEDESTRIAN STOP,PEDESTRIAN STOP,LOWER SPROUL GARAGE,37.868756,-122.26053,NA
2019-02-26,23:55,DISORDERLY CONDUCT,LODGING,BOALT HALL,37.869768,-122.253893,NA
