Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis
2019-03-22,0:09,TRAFFIC STOP,TRAFFIC STOP,BANCROFT/DANA,37.868553,-122.261796,"(MO-29-S) CONTACTED FOR TRAFFIC VIOLATION, BANCROFT AND DANA."
2019-03-22,0:21,PEDESTRIAN STOP,SUSPECT STOP,WEST CRESCENT,37.871785,-122.265027,NA
2019-03-22,7:22,WELFARE CHECK,CHECK WELFARE- 911 CALL,ANNA HEAD ALUMNAE HALL,37.866336,-122.257558,NA
2019-03-22,8:50,ALL OTHER OFFENSES,DISTURBING THE PEACE,CESAR CHAVEZ CENTER,37.869789,-122.260038,NA
2019-03-22,8:52,ALL OTHER OFFENSES,RULE VIOLATION,REC SPRT FAC,37.868572,-122.262722,NA
2019-03-22,9:20,VEHICLE CODE VIOLATION,VEHICLE CODE VIOLATION,OXFORD GARAGE,37.868775,-122.266751,NA
2019-03-22,10:49,SUSPICIOUS EVENT,SUSPICIOUS PERSON -report,UNIVERSITY HALL,37.87216,-122.266441,NA
2019-03-22,11:01,PEDESTRIAN STOP,PEDESTRIAN STOP,UNIVERSITY HALL,37.87216,-122.266441,NA
2019-03-22,11:19,ALL OTHER OFFENSES,RULE VIOLATION,I HOUSE,37.86958,-122.251803,NA
2019-03-22,11:57,WELFARE CHECK,CHECK WELFARE- 911 CALL,CHEIT HALL,37.871817,-122.254259,NA
2019-03-22,12:22,VEHICLE CODE VIOLATION,VEHICLE CODE VIOLATION,1110 JACKSON ST,37.883677,-122.300224,NA
2019-03-22,12:25,WELFARE CHECK,CHECK WELFARE- 911 CALL,LOWER SPROUL PLAZA,37.86918,-122.260222,NA
2019-03-22,12:44,WELFARE CHECK,CHECK WELFARE- 911 CALL,VALLEY LIFE SCIENCE BLDG,37.871701,-122.262098,NA
2019-03-22,12:46,WELFARE CHECK,CHECK WELFARE- 911 CALL,LOWER SPROUL PLAZA,37.86918,-122.260222,NA
2019-03-22,13:25,WELFARE CHECK,CHECK WELFARE- 911 CALL,LOWER SPROUL PLAZA,37.86918,-122.260222,NA
2019-03-22,14:44,LARCENY/THEFT,AUTO BURGLARY,1995 UNIVERSITY AVE,37.872093,-122.271268,NA
2019-03-22,15:34,TRAFFIC,ACCIDENT / NO INJURIES,BANCROFT/PIEDMONT,37.86963,-122.25265,NA
2019-03-22,15:46,WELFARE CHECK,CHECK WELFARE- 911 CALL,ENERGY BIOSCIENCES INSTITUTE,37.874039,-122.266457,NA
2019-03-22,17:07,VANDALISM,"SET VEHIC MOTION, CONTROLS",EDWARDS TRACK,37.868998,-122.264829,"(FW-26-E) REPORTS MALICIOUS TAMPERING WITH A GOLF CART, EDWARDS TRACK."
2019-03-22,18:02,ALL OTHER OFFENSES,MISD. HIT & RUN -REPORT,EDWARDS TRACK,37.868998,-122.264829,"(FW-26-E) REPORTS HIT AND RUN TO A GOLF CART, EDWARDS TRACK."
2019-03-22,19:36,TRAFFIC STOP,TRAFFIC STOP,HASTE/PIEDMONT,37.866823,-122.251681,NA
2019-03-22,19:59,VANDALISM,TAMPERING WITH VEHICLE-REPORT,HAAS PAVILION,37.869557,-122.262235,"(MH-56-E) REPORTS TAMPERING WITH A VEHICLE AND PROPERTY DAMAGE, HAAS PAVILION. SUSPECTS: 3 BMS 18-19 YEARS OLD ALL THIN BUILD AND WEARING BLACK JACKETS AND BLACK PANTS. UNKNOWN DIRECTION OF FLIGHT."
2019-03-22,20:55,TRAFFIC STOP,TRAFFIC STOP,BANCROFT/TELE,37.868706,-122.259184,NA
2019-03-22,21:16,TRAFFIC STOP,TRAFFIC STOP,DURANT/TELEGRAPH,37.867806,-122.258712,NA
2019-03-22,21:42,TRAFFIC STOP,TRAFFIC STOP,SHATTUCK/BERKELEY,37.873017,-122.268446,NA
2019-03-22,22:13,TRAFFIC STOP,TRAFFIC STOP,BAN/FULTON,37.867845,-122.26588,NA
2019-03-22,22:33,VANDALISM,MALICIOUS MISCHIEF,ZELLERBACH HALL,37.86938,-122.260585,"HANAWALT, TIMOTHY (MW-20-O) CITED AND RELEASED FOR VANDALISM, ZELLERBACH HALL. PARRA, RAYMOND (MH-20-O) ARRESTED FOR VANDALISM, ZELLERBACH HALL TO BPD JAIL."
2019-03-22,22:38,ALL OTHER OFFENSES,TRESPASS - PUBLIC BLDG AFTER HOURS,HAAS PAVILION,37.869557,-122.262235,NA
2019-03-22,23:10,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,LAWRENCE HALL OF SCIENCE,37.869557,-122.262235,NA
